id,screenName,location,text,created
1.61e+18,ByClaytonDavis,NYC - JC - LA,"#GoldenGlobes Predictions for Best Director

Will Win: Baz Luhrmann #Elvis
Could Win: Steven Spielberg #TheFabelmans

I__ weary of the Daniels or McDonagh because, in the last 20 years, only two directors have won from a comedy/musical nominee _ Robert Altman and Damien Chazelle",2023/1/9 23:44
1.61e+18,awards_watch,"San Francisco, CA",I've made a few changes to my 2023 Golden Globes predictions but sticking with The Fabelmans/Spielberg (even though Elvis feels so likely right now) #GoldenGlobes #GoldenGlobes2023  https://t.co/E2S8UJg7Xe,2023/1/9 23:44
1.61e+18,UCanBetThat_,,"Who Wins Best Actor in a Motion Picture _ Drama
Two Actor battle going on!!!!
Austin Butler - #Elvis -200
Brendan Fraser - #TheWhale -110

More #GoldenGlobes Odds: https://t.co/DeZXtmWwNw

#Globes #entertainment #entertainmentodds https://t.co/Qzvf3iNqXu",2023/1/9 23:04
1.61e+18,CineboxMX,Veracruz,"Tres son los mexicanos que estarÃ¡n en los #GoldenGlobes 2023.
#GuillermoDelToro, con su nominaciÃ³n a Mejor PelÃ­cula Animada por #Pinocchio
#DiegoLuna, nominado a Mejor Actor por #Andor de #DisneyPlus
#DiegoCalva, nominado a Mejor Actor de PelÃ­cula Comedia o Musical por #Babylon https://t.co/Z9rSt5pUiI",2023/1/9 23:01
1.61e+18,briantruitt,Hoth,"Will #Elvis leave the building with some big wins? Whether you like it or not, the #GoldenGlobes are back tomorrow so here are some predictions: https://t.co/qF6xn4giW7",2023/1/9 22:25
1.61e+18,Road2Oscars,San Francisco Bay Area,Definitely #Elvis! #GoldenGlobes,2023/1/9 21:08
1.61e+18,MidnightCriticC,,"The MCC 2023 Golden Globe Film predictions are now up! Will #EverythingEverywhereAllAtOnce continue its dominance? Is #Elvis the new BoRhap? Do we think #RRR wins anything?

#GoldenGlobes #GoldenGlobes2023 

https://t.co/Ytd5U9A3kX https://t.co/jYE0ScKlYs",2023/1/9 20:59
1.61e+18,vhscut,,"#GoldenGlobes: Nas previsÃµes de 'Melhor CanÃ§Ã£o Original', os editores da VHS apostam na vitÃ³ria de 'Hold My Hand', canÃ§Ã£o de Lady Gaga para 'Top Gun: Maverick'.

Confira todas as previsÃµes e apostas: https://t.co/STKYBAdQjv",2023/1/9 20:53
1.61e+18,KevinLaforest,Montreal,"Mes prÃ©dictions #GoldenGlobes 3/3

Animated Film
Guillermo del Toro__ Pinocchio

Song
__old My Hand_ (Top Gun: Maverick)

Score
Hildur GuÃ°nadÃ³ttir (Women Talking)",2023/1/9 20:30
1.61e+18,KevinLaforest,Montreal,"Mes prÃ©dictions #GoldenGlobes 2/3

Actor - Drama 
Austin Butler (Elvis)

Actress - Drama
Cate Blanchett (T_R) 

Actor _ Comedy
Colin Farrell (Banshees)

Actress _ Comedy
Michelle Yeoh (EEAAO)

Supporting Actor
Ke Huy Quan (EEAAO)

Supporting Actress 
Kerry Condon (Banshees)",2023/1/9 20:30
1.61e+18,KevinLaforest,Montreal,"Mes prÃ©dictions #GoldenGlobes 1/3

Drama
Elvis

Comedy/Musical
The Banshees of Inisherin

Film not in English 
All Quiet on the Western Front

Director
Baz Luhrmann (Elvis)

Screenplay
Martin McDonagh (The Banshees of Inisherin)",2023/1/9 20:30
1.61e+18,usatodaylife,"USA TODAY HQ, McLean, Va.","Who will reign at Tuesday's #GoldenGlobes, Steven Spielberg or those ""Banshees of Inisherin""? Will Cate Blanchett and Michelle Yeoh snag their expected awards or be upset? Or might ""Elvis"" leave the building with the most trophies?

https://t.co/nDLXY2DWwc",2023/1/9 19:14
1.61e+18,BrandonSiedlik,"Livonia, MI","NON-ENGLISH: RRR
SCORE: Babylon
SONG: Hold My Hand

#GoldenGlobes",2023/1/9 18:14
1.61e+18,BrandonSiedlik,"Livonia, MI","Final #GoldenGlobes Predictions (FILM):

PICTURE: Top Gun: Maverick &amp; Everything Everywhere All at Once
ACTRESS: Blanchett &amp; Yeoh
ACTOR: Butler &amp; Farrell
SUPPORTING: Curtis &amp; Quan
DIRECTOR: Cameron
SCREENPLAY: The Banshees of Inisherin
ANIMATED: Guillermo del Toro__ Pinocchio",2023/1/9 18:14
1.61e+18,thescreenshow,,"De #ULTIMAHORA DIEGO CALVA el #MEXICANO con los OJOS DEL MUNDO ENCIMA Protagoniza #Babylon al lado de #MargotRobbie y #BradPitt #Nominado en #GoldenGlobes 
MIRA LA ENTREVISTA AQU_ https://t.co/VLVD6qYsr6 vÃ­a @YouTube https://t.co/Rbz2fVYXmj",2023/1/9 18:07
1.61e+18,johngaravito,,"De #ULTIMAHORA DIEGO CALVA el #MEXICANO con los OJOS DEL MUNDO ENCIMA Protagoniza #Babylon al lado de #MargotRobbie y #BradPitt #Nominado en #GoldenGlobes 
MIRA LA ENTREVISTA AQU_ https://t.co/nhY0ra0tPF vÃ­a @YouTube https://t.co/RPTQejAEs6",2023/1/9 18:07
1.61e+18,MelyanaKlue,Planet Earth,"Tarnished #GoldenGlobes aim to regain role as Hollywood's 'party of the year' #Hollywood #cinematic #GoldenGlobes2023   #moviescenes #BabylonMovie #AvatarTheWayOfWater #Avatar 
https://t.co/D7P4wrBu9W",2023/1/9 17:06
1.61e+18,dizifilmbulteni,,"2023 Final #GoldenGlobes Predictions

#EverythingEverywhereAllAtOnce #TheBansheesofInisherin #TheFabelmans #Elvis #TopGunMaverick #Babylon #Tar #Pinocchio #RRRMovie #GoldenGlobes2023 #FilmTwitter https://t.co/jtjrxeyhCp",2023/1/9 15:37
1.61e+18,tutsirouge,"MÃ©xico, DF.","Diego Calva cuenta entre risas que comenzÃ³ en el cine sirviendo cafÃ© y hoy, sin buscarlo, protagoniza junto a Margot Robbie y Brad Pitt #BabylonLaPelicula. En 10 aÃ±os de carrera no habÃ­a sido noninado ni al Ariel y maÃ±ana contenderÃ¡ por un #GoldenGlobes 

https://t.co/N4xSNyWNiT https://t.co/G4G09V5KNb",2023/1/9 15:32
1.61e+18,HelloAva,"Manhattan, NY","__#GOLDENGLOBES : PREDICTION POLL __ï¸ 

Who do you WANT to win 'Best Performance by an Actress in a Motion Picture, Musical or Comedy?'

Lesley Manville (Mrs. Harris) 
Margot Robbie (Babylon) 
Anya Taylor-Joy (Menu) 
Emma Thompson (Good Luck, LG) 
Michelle Yeoh (Everything Every)",2023/1/9 14:41
1.61e+18,HelloAva,"Manhattan, NY","__GOLDEN GLOBES : PREDICTIONS POLL __ï¸ 

What do you THINK WILL WIN 'Best Director, Motion Picture'

James Cameron (Avatar: WoW) 
Daniel Kwan, Daniel Scheinert (Everything Everywhere) 
Baz Luhrmann (Elvis) 
Martin McDonagh (Banshees) 
Steven Spielberg (Fabelmans)

#goldenglobes",2023/1/9 14:22
1.61e+18,HelloAva,"Manhattan, NY","__GOLDEN GLOBES : PREDICTIONS POLL __ï¸ 

Who do you WANT TO WIN 'Best Director, Motion Picture?'

James Cameron (Avatar: WoW) 
Daniel Kwan, Daniel Scheinert (Everything Everywhere) 
Baz Luhrmann (Elvis) 
Martin McDonagh (Banshees) 
Steven Spielberg (Fabelmans)

#goldenglobes",2023/1/9 14:21
1.61e+18,AnimalMX,Mexico,"Diego Calva estÃ¡ nominado en los #GoldenGlobes por 'Babylon', pelÃ­cula que se estrena en MÃ©xico este mes.

https://t.co/k89vr8huPf",2023/1/9 03:00
1.61e+18,awards_watch,"San Francisco, CA","2023 Golden Globes predictions - MOTION PICTURE: 'The Fabelmans,' Elvis,' 'Banshees' and 'Everything Everywhere' vying for wins https://t.co/E2S8UJg7Xe #GoldenGlobes",2023/1/9 00:59
1.61e+18,revistafreim,MÃ©xico,"__ La entrega de los #goldenglobes estÃ¡ muy cerca. Estos son los talentos mexicanos nominados: 

Guillermo del Toro - 'Pinocho'. Mejor pelÃ­cula animada.

Diego Luna - 'Andor'. Mejor actor en serie dramÃ¡tica.

Diego Calva -'Babylon'. Mejor actor de musical o comedia. https://t.co/dBYcivA666",2023/1/8 21:00
